# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jun 22 16:28:05 2026
#
# User preference: *
#
# CONSTRAINT:  where (pl_controv_flag = 0
# CONSTRAINT:  and ttv_flag = 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
#
loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_radj,ttv_flag,st_spectype,st_teff,rastr,ra,decstr,dec,sy_dist
36,24 Sex c,24 Sex,1,1,2,Radial Velocity,2010,0,883.00000000000,2.0800000000,,0,,5098.00,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.06910000
37,2M0437 b,2MASS J04372171+2651014,1,1,1,Imaging,2021,0,,118.0000000000,,0,M V,3100.00,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.48400000
38,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,Imaging,2013,0,,84.0000000000,,0,M5.5/M6,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,
39,2MASS J01225093-2439505 b,2MASS J01225093-2439505,0,1,1,Imaging,2013,0,,,1.00000000,0,,3309.00,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.82810000
40,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,Imaging,2013,0,,52.0000000000,,0,M3.5 V,3530.00,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.82810000
41,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,Imaging,2015,0,,156.0000000000,1.44000000,0,M6,3064.00,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,
42,2MASS J0249-0557 c,2MASS J0249-0557 A,1,2,1,Imaging,2018,0,,,1.55000000,0,M6 V,,02h49m56.44s,42.4851627,-05d57m35.97s,-5.9599921,66.06130000
43,2MASS J0249-0557 c,2MASS J0249-0557 A,0,2,1,Imaging,2018,0,,1950.0000000000,,0,M6 V,,02h49m56.44s,42.4851627,-05d57m35.97s,-5.9599921,66.06130000
44,2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,1,Imaging,2024,0,,572.0000000000,,0,,,03h59m09.86s,59.7911026,+20d09m35.91s,20.1599759,117.43500000
45,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,Imaging,2010,0,,15.0000000000,,0,M8.5,,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,
46,2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,1,Imaging,2024,0,,266.0000000000,,0,,,11h01m19.09s,165.3295388,-77d32m38.73s,-77.5440912,
47,2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,1,Imaging,2024,0,,587.0000000000,,0,,,11h55m04.60s,178.7691634,-79d19m11.12s,-79.3197558,100.86200000
48,2MASS J12073346-3932539 b,2MASS J12073346-3932539,0,1,1,Imaging,2004,0,,46.0000000000,,0,,2825.00,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.30800000
49,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,Imaging,2004,0,,,1.40000000,0,M8,,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.30800000
50,2MASS J12073346-3932539 b,2MASS J12073346-3932539,0,1,1,Imaging,2004,0,,55.0000000000,,0,M8,,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.30800000
51,2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,0,406.00000000000,,,0,,29564.00,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.33200000
52,2MASS J19383260+4603591 b,2MASS J19383260+4603591,0,2,3,Eclipse Timing Variations,2015,0,416.00000000000,0.9200000000,,0,,,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.33200000
53,2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,1,Imaging,2024,0,,7493.0000000000,,0,,,21h25m27.91s,321.3662989,-81d38m29.36s,-81.6414894,34.11540000
54,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,Imaging,2016,0,,230.0000000000,,0,K7 V,4045.00,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,69.57370000
55,2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,1,1,Imaging,2018,0,,518.0000000000,,0,M3,,22h50m15.22s,342.5634097,+23d25m33.26s,23.4259058,57.23090000
56,4 UMa b,4 UMa,0,1,1,Radial Velocity,2006,0,269.30000000000,0.8700000000,,0,K1 III,4415.00,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.46030000
57,4 UMa b,4 UMa,1,1,1,Radial Velocity,2006,0,270.27000000000,0.8770000000,,0,K1 III,4415.00,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.46030000
58,47 UMa b,47 UMa,1,1,3,Radial Velocity,1996,0,1078.00000000000,2.1000000000,,0,,5872.00,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.79670000
59,47 UMa b,47 UMa,0,1,3,Radial Velocity,1996,0,1100.80000000000,2.1100000000,,0,,,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.79670000
60,47 UMa b,47 UMa,0,1,3,Radial Velocity,1996,0,1076.60000000000,2.0590000000,,0,,5829.16,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.79670000
61,47 UMa b,47 UMa,0,1,3,Radial Velocity,1996,0,1076.06000000000,2.1040000000,,0,,5880.00,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.79670000
62,47 UMa b,47 UMa,0,1,3,Radial Velocity,1996,0,1076.60000000000,2.1000000000,,0,G0 V,5882.00,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.79670000
63,47 UMa b,47 UMa,0,1,3,Radial Velocity,1996,0,1083.20000000000,2.1100000000,,0,G1 V,,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.79670000
64,47 UMa c,47 UMa,0,1,3,Radial Velocity,2001,0,2287.00000000000,3.4040000000,,0,,5829.16,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.79670000
65,47 UMa c,47 UMa,1,1,3,Radial Velocity,2001,0,2391.00000000000,3.6000000000,,0,,5872.00,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.79670000
66,47 UMa c,47 UMa,0,1,3,Radial Velocity,2001,0,7586.00000000000,7.7300000000,,0,G1 V,,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.79670000
67,47 UMa c,47 UMa,0,1,3,Radial Velocity,2001,0,2265.00000000000,3.4530000000,,0,,5880.00,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.79670000
68,47 UMa d,47 UMa,1,1,3,Radial Velocity,2009,0,14002.00000000000,11.6000000000,,0,,5872.00,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.79670000
69,47 UMa d,47 UMa,0,1,3,Radial Velocity,2009,0,19000.00000000000,13.8000000000,,0,,5829.16,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.79670000
70,51 Eri b,51 Eri,1,3,1,Imaging,2015,0,9100.00000000000,10.4000000000,,0,,,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.75750000
71,51 Eri b,51 Eri,0,3,1,Imaging,2015,0,11688.00000000000,12.0000000000,,0,,7295.00,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.75750000
72,51 Eri b,51 Eri,0,3,1,Imaging,2015,0,14965.00000000000,14.0000000000,,0,,7295.00,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.75750000
73,51 Eri b,51 Eri,0,3,1,Imaging,2015,0,,13.2000000000,,0,F0 IV,,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.75750000
74,51 Eri b,51 Eri,0,3,1,Imaging,2015,0,,,,0,,7422.00,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.75750000
75,51 Peg b,51 Peg,1,1,1,Radial Velocity,1995,0,4.23078500000,0.0527000000,,0,,5758.00,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.46140000
76,51 Peg b,51 Peg,0,1,1,Radial Velocity,1995,0,4.23079690000,0.0523500000,,0,,5760.76,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.46140000
77,51 Peg b,51 Peg,0,1,1,Radial Velocity,1995,0,4.23100000000,0.0520000000,,0,,,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.46140000
78,51 Peg b,51 Peg,0,1,1,Radial Velocity,1995,0,4.23077000000,0.0520000000,,0,,,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.46140000
79,51 Peg b,51 Peg,0,1,1,Radial Velocity,1995,0,4.22930000000,,,0,,5773.00,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.46140000
80,55 Cnc B b,55 Cnc B,1,2,7,Radial Velocity,2025,0,6.79940000000,0.0440000000,,0,M4.5 V,3286.00,08h52m40.30s,133.1679080,+28d18m55.03s,28.3152863,12.47730000
81,55 Cnc B c,55 Cnc B,1,2,7,Radial Velocity,2025,0,33.74700000000,0.1300000000,,0,M4.5 V,3286.00,08h52m40.30s,133.1679080,+28d18m55.03s,28.3152863,12.47730000
82,55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,0,14.60000000000,0.1130000000,,0,K0 IV-V,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
83,55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,0,14.64800000000,0.1100000000,,0,G8 V,5200.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
84,55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,0,14.65126000000,0.1138000000,,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
85,55 Cnc b,55 Cnc,1,2,7,Radial Velocity,1996,0,14.65155200000,0.1180000000,,0,G8 V,5198.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
86,55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,0,14.65152000000,0.1152272500,,0,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
87,55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,0,14.64700000000,0.1150000000,,0,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
88,55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,0,14.65100000000,0.1134000000,,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
89,55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,0,14.65160000000,0.1134000000,,0,,5172.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
90,55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,0,14.65162000000,0.1150000000,,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
91,55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,0,14.65171000000,0.1162000000,,0,,5317.89,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
92,55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,0,14.65161300000,0.1102000000,,0,,5292.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
93,55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,0,14.67000000000,0.1150000000,,0,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
94,55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,0,14.46531400000,0.1133900000,,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
95,55 Cnc b,55 Cnc,0,2,7,Radial Velocity,1996,0,14.65300000000,0.1150000000,,0,G8 V,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
96,55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,0,43.93000000000,0.2400000000,,0,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
97,55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,0,44.37870000000,0.2380000000,,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
98,55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,0,44.38270000000,0.2432000000,,0,,5317.89,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
99,55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,0,44.34460000000,0.2400000000,,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
100,55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,0,44.41750000000,0.2413760000,,0,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
101,55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,0,44.37300000000,0.2373500000,,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
102,55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,0,44.38000000000,0.2370000000,,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
103,55 Cnc c,55 Cnc,1,2,7,Radial Velocity,2004,0,44.39360000000,0.2470000000,,0,G8 V,5198.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
104,55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,0,44.39160000000,0.2306000000,,0,,5292.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
105,55 Cnc c,55 Cnc,0,2,7,Radial Velocity,2004,0,44.39890000000,0.2373000000,,0,,5172.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
106,55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,0,5360.00000000000,5.9000000000,,0,G8 V,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
107,55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,0,5218.00000000000,5.7700000000,,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
108,55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,0,4545.00000000000,5.2800000000,,0,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
109,55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,0,4825.00000000000,5.5030000000,,0,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
110,55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,0,5574.20000000000,5.9570000000,,0,,5172.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
111,55 Cnc d,55 Cnc,1,2,7,Radial Velocity,2002,0,4799.00000000000,5.6000000000,,0,G8 V,5198.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
112,55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,0,4909.00000000000,5.4700000000,,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
113,55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,0,4982.00000000000,5.3400000000,,0,,5292.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
114,55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,0,4820.00000000000,5.5400000000,,0,,5317.89,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
115,55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,0,5370.00000000000,5.8400000000,,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
116,55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,0,4867.00000000000,5.4460000000,,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
117,55 Cnc d,55 Cnc,0,2,7,Radial Velocity,2002,0,4517.40000000000,5.2570000000,,0,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
118,55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,0,0.73655150000,0.0156909070,,0,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
119,55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,0,0.73654604000,,,0,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
120,55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,0,0.73654450000,0.0158300000,,0,,5317.89,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
121,55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,0,0.73654600000,0.0158300000,0.19400000,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
122,55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,0,,0.0154400000,0.17129093,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
123,55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,0,,,,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
124,55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,0,0.73654170000,,,0,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
125,55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,0,2.80800000000,0.0380000000,,0,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
126,55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,0,0.73653900000,0.0154400000,0.17039879,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
127,55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,0,0.73700000000,,0.16923900,0,,5172.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
128,55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,0,0.73654370000,0.0154400000,0.18556517,0,,5234.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
129,55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,0,0.73654780000,0.0154390000,,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
130,55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,0,0.73654625026,,0.18049029,0,,5250.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
131,55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,0,0.73654300000,,0.16558151,0,,5272.00,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
132,55 Cnc e,55 Cnc,0,2,7,Radial Velocity,2004,0,0.73654740000,,0.17370000,0,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000
